date,value
1949-05-16,176.2100
1949-05-17,174.8000
1949-05-18,172.5300
1949-05-19,171.3400
1949-05-20,169.2000
1949-05-23,171.8500
1949-05-24,172.7500
1949-05-25,171.5300
1949-05-26,170.4300
1949-05-27,172.7600
1949-05-30,176.2100
1949-05-31,176.5200
1949-06-01,175.9700
1949-06-02,174.7600
1949-06-03,175.4800
1949-06-06,174.9200
1949-06-07,173.8300
1949-06-08,171.5300
1949-06-09,170.1500
1949-06-10,167.9800
1949-06-13,165.2700
1949-06-14,158.9800
1949-06-15,153.8100
1949-06-16,157.8000
1949-06-17,160.1300
1949-06-20,155.4500
1949-06-21,152.9900
1949-06-22,155.0100
1949-06-23,155.7600
1949-06-24,154.0400
1949-06-27,150.5800
1949-06-28,147.1300
1949-06-29,146.1400
1949-06-30,146.9200
1949-07-01,147.3700
1949-07-04,149.1400
1949-07-05,146.5200
1949-07-06,144.1800
1949-07-07,143.6600
1949-07-08,142.1600
1949-07-11,135.8400
1949-07-12,134.8000
1949-07-13,140.0200
1949-07-14,141.2800
1949-07-15,142.2900
1949-07-18,147.2300
1949-07-19,148.5500
1949-07-20,147.0900
1949-07-21,145.9700
1949-07-22,145.6700
1949-07-25,144.8800
1949-07-26,144.6600
1949-07-27,145.4700
1949-07-28,145.5100
1949-07-29,144.5900
1949-08-01,145.6300
1949-08-02,150.0000
1949-08-03,154.4600
1949-08-04,155.5700
1949-08-05,154.2400
1949-08-08,156.4600
1949-08-09,157.6800
1949-08-10,159.3000
1949-08-11,162.7500
1949-08-12,164.7300
1949-08-15,159.0000
1949-08-16,159.1400
1949-08-17,158.2300
1949-08-18,158.1700
1949-08-19,158.8100
1949-08-22,160.5100
1949-08-23,162.0200
1949-08-24,164.3400
1949-08-25,167.6400
1949-08-26,173.2000
1949-08-29,173.2200
1949-08-30,174.1000
1949-08-31,175.1800
1949-09-01,176.8900
1949-09-02,173.0000
1949-09-05,172.2100
1949-09-06,172.4100
1949-09-07,171.8900
1949-09-08,170.1100
1949-09-09,168.8600
1949-09-12,172.2300
1949-09-13,171.2500
1949-09-14,169.8700
1949-09-15,168.3000
1949-09-16,162.5400
1949-09-19,167.0700
1949-09-20,163.9400
1949-09-21,162.2200
1949-09-22,163.0000
1949-09-26,162.4900
1949-09-27,160.4100
1949-09-28,160.6100
1949-09-29,162.0700
1949-09-30,163.2900
1949-10-03,160.7200
